video_id,trending_date,views,likes,comment_count,previous_views,view_growth,view_growth_pct,view_velocity,engagement_rate,growth_score,engagement_score,trend_velocity_score,trend_status,velocity_percentile,engagement_percentile,emerging_trend_score,emerging_status,trend_alert,first_trending_date,days_since_first_trending,emerging_date,time_to_trend_days
dZE0UU58Nko,2017-12-23,195152,4599,1003,139864.0,55288.0,39.529828976720246,0.39529828976720244,2.870582930228745,63.09152127333946,73.15257352941177,66.10983695016114,Hot,63.09152127333946,73.15257352941177,67.11594217576838,Emerging,True,2017-12-22,1,2017-12-23,1.0
dZE0UU58Nko,2017-12-24,208036,4719,1037,195152.0,12884.0,6.602033286873821,0.06602033286873821,2.766828818089177,11.098867462503827,72.38051470588235,29.483361635517383,Normal,11.098867462503827,72.38051470588235,35.61152635985524,Normal,False,2017-12-22,2,2017-12-23,1.0
dZbDNqY-uj0,2018-01-23,1154536,22701,2070,,,,,2.1455372547932674,,66.6390931372549,,,,66.6390931372549,,,False,2018-01-23,0,2018-01-24,1.0
dZbDNqY-uj0,2018-01-24,3688518,43959,3817,1154536.0,2533982.0,219.4805532265776,2.194805532265776,1.29526275864724,97.90021426385063,55.024509803921575,85.0375029258719,Viral,97.90021426385063,55.024509803921575,80.749932479879,Hot,True,2018-01-23,1,2018-01-24,1.0
dZbDNqY-uj0,2018-01-25,5614088,56904,4930,3688518.0,1925570.0,52.20443549414697,0.5220443549414697,1.1014077442320107,72.32935414753597,50.848651960784316,65.88514349151046,Hot,72.32935414753597,50.848651960784316,63.73707327283531,Emerging,True,2018-01-23,2,2018-01-24,1.0
dZbDNqY-uj0,2018-01-26,7235774,64875,5575,5614088.0,1621686.0,28.88600962435929,0.2888600962435929,0.9736346104784367,52.29262320171411,47.41727941176471,50.83002006472928,Growing,52.29262320171411,47.41727941176471,50.342485685734346,Growing,False,2018-01-23,3,2018-01-24,1.0
dZbDNqY-uj0,2018-01-27,8464451,70295,2165,7235774.0,1228677.0,16.980588393169825,0.16980588393169824,0.8560507940798523,33.657790021426386,43.7469362745098,36.68453389735141,Normal,33.657790021426386,43.7469362745098,37.69344852265975,Normal,False,2018-01-23,4,2018-01-24,1.0
dZbDNqY-uj0,2018-01-28,9538234,74680,1617,8464451.0,1073783.0,12.68579616090872,0.12685796160908722,0.7999069848779135,24.450566268748087,41.724877450980394,29.63285962341778,Normal,24.450566268748087,41.724877450980394,31.36029074164101,Normal,False,2018-01-23,5,2018-01-24,1.0
daDh5JJdLYw,2018-05-11,456897,8818,964,,,,,2.1409639371674576,,66.59926470588235,,,,66.59926470588235,,,False,2018-05-11,0,2018-05-12,1.0
daDh5JJdLYw,2018-05-12,1617598,17933,2109,456897.0,1160701.0,254.0399696211619,2.540399696211619,1.238997575417378,98.55524946434038,53.93688725490197,85.16974080150885,Viral,98.55524946434038,53.93688725490197,80.70790458056501,Hot,True,2018-05-11,1,2018-05-12,1.0
daDh5JJdLYw,2018-05-13,2348459,23048,2749,1617598.0,730861.0,45.18186842466422,0.45181868424664223,1.0984649934276052,67.54820936639119,50.76286764705882,62.512606850591474,Hot,67.54820936639119,50.76286764705882,60.834072678658245,Emerging,True,2018-05-11,2,2018-05-12,1.0
daSu5agYchQ,2017-11-17,315785,2769,184,,,,,0.9351299143404532,,46.36029411764706,,,,46.36029411764706,,,False,2017-11-17,0,2017-11-18,1.0
daSu5agYchQ,2017-11-18,565671,3952,289,315785.0,249886.0,79.13168769890908,0.7913168769890908,0.7497290828060834,84.73829201101928,39.87438725490196,71.27912058418408,Hot,84.73829201101928,39.87438725490196,66.79273010857236,Emerging,True,2017-11-17,1,2017-11-18,1.0
daSu5agYchQ,2017-11-20,736165,4648,348,565671.0,170494.0,30.14013445978316,0.3014013445978316,0.6786522043291925,53.75573921028467,36.53799019607843,48.590414506022796,Growing,53.75573921028467,36.53799019607843,46.86863960460218,Growing,False,2017-11-17,3,2017-11-18,1.0
dayRyOf_Om8,2018-04-22,298087,5884,437,,,,,2.1205218610674064,,66.4001225490196,,,,66.4001225490196,,,False,2018-04-22,0,2018-04-23,1.0
dayRyOf_Om8,2018-04-23,457797,7127,579,298087.0,159710.0,53.57831773945191,0.5357831773945191,1.6832788331946256,73.21701867156413,61.1703431372549,69.60301601127136,Hot,73.21701867156413,61.1703431372549,68.39834845784044,Emerging,True,2018-04-22,1,2018-04-23,1.0
dbYVURhZZSs,2018-03-31,403024,3590,406,,,,,0.9915042280360475,,47.91053921568628,,,,47.91053921568628,,,False,2018-03-31,0,2018-04-01,1.0
dbYVURhZZSs,2018-04-01,786321,6061,745,403024.0,383297.0,95.10525427766089,0.9510525427766089,0.8655498199844593,88.7174778083869,44.09007352941177,75.32925652469436,Hot,88.7174778083869,44.09007352941177,70.86651609679684,Emerging,True,2018-03-31,1,2018-04-01,1.0
dbYVURhZZSs,2018-04-02,879166,6615,782,786321.0,92845.0,11.807518812291672,0.11807518812291672,0.8413655669122783,22.681359044995407,43.22916666666667,28.845701331496784,Normal,22.681359044995407,43.22916666666667,30.90048209366391,Normal,False,2018-03-31,2,2018-04-01,1.0
dbYVURhZZSs,2018-04-03,944845,6992,813,879166.0,65679.0,7.470602821310196,0.07470602821310196,0.8260614174811741,12.886440159167432,42.68075980392157,21.82473605259367,Normal,12.886440159167432,42.68075980392157,24.804168017069088,Normal,False,2018-03-31,3,2018-04-01,1.0
dbhT0P2N_FA,2018-05-11,417307,3285,114,,,,,0.8145082637003453,,42.28553921568627,,,,42.28553921568627,,,False,2018-05-11,0,2018-05-12,1.0
dbhT0P2N_FA,2018-05-12,749640,4454,141,417307.0,332333.0,79.63753303922532,0.7963753303922532,0.6129608878928552,84.94031221303948,32.96875,69.34884354912762,Hot,84.94031221303948,32.96875,64.15168732782368,Emerging,True,2018-05-11,1,2018-05-12,1.0
dbvKTBrB7Ko,2018-04-04,78494,412,10,,,,,0.5376207098631742,,28.39154411764706,,,,28.39154411764706,,,False,2018-04-04,0,2018-04-05,1.0
dbvKTBrB7Ko,2018-04-05,148939,609,19,78494.0,70445.0,89.74571304813107,0.8974571304813107,0.42164913152364386,87.54820936639118,20.962009803921568,67.5723494976503,Hot,87.54820936639118,20.962009803921568,60.91372954140333,Emerging,True,2018-04-04,1,2018-04-05,1.0
dcii8lk5xQU,2018-01-29,320683,3174,306,,,,,1.0851838108038157,,50.431985294117645,,,,50.431985294117645,,,False,2018-01-29,0,2018-01-30,1.0
dcii8lk5xQU,2018-01-30,650768,4937,468,320683.0,330085.0,102.93186729574066,1.0293186729574066,0.830557126349175,90.10713192531374,42.84926470588235,75.92977175948432,Hot,90.10713192531374,42.84926470588235,71.20398503754117,Emerging,True,2018-01-29,1,2018-01-30,1.0
dcii8lk5xQU,2018-02-01,760490,5556,516,650768.0,109722.0,16.860386497184866,0.16860386497184865,0.7984325895146551,33.39455157636976,41.66360294117647,35.87526698581177,Normal,33.39455157636976,41.66360294117647,36.702172122292446,Normal,False,2018-01-29,3,2018-01-30,1.0
deJzlHBFRZo,2018-03-16,350553,2658,246,,,,,0.8284054051741107,,42.78492647058824,,,,42.78492647058824,,,False,2018-03-16,0,2018-03-17,1.0
deJzlHBFRZo,2018-03-17,589386,4120,429,350553.0,238833.0,68.13035404061583,0.6813035404061583,0.7718201653924592,80.52647689011326,40.729166666666664,68.58728382307928,Hot,80.52647689011326,40.729166666666664,64.60755280073462,Emerging,True,2018-03-16,1,2018-03-17,1.0
deJzlHBFRZo,2018-03-18,735543,4881,442,589386.0,146157.0,24.79817980067392,0.24798179800673922,0.7236830477619935,47.089072543618,38.799019607843135,44.602056662885545,Growing,47.089072543618,38.799019607843135,43.77305136930806,Growing,False,2018-03-16,2,2018-03-17,1.0
dfnCAmr569k,2018-01-13,14089954,1065784,96579,,,,,8.24958690425817,,93.64276960784314,,,,93.64276960784314,,,False,2018-01-13,0,2018-01-14,1.0
