video_id,trending_date,views,view_growth,view_growth_pct,view_velocity,engagement_rate,emerging_trend_score,emerging_status,trend_alert
hOe0U6nIrNo,2018-03-06,860781,84570.0,10.895233383706234,0.10895233383706233,1.0670542216893728,32.3673060822125,Normal,False
2hkhKftPcIY,2018-02-13,4220536,279094.0,7.081012482233659,0.07081012482233659,1.807140135755269,32.36344393129153,Normal,False
iD6vK5kbxKU,2018-03-30,316400,31873.0,11.20210032791264,0.11202100327912641,1.0278128950695322,32.363258250958786,Normal,False
QJUK0N2R0oU,2018-05-01,1523709,324872.0,27.09893004636994,0.2709893004636994,0.18126820803709895,32.35961554043105,Normal,False
AEYsKMlpzNs,2018-01-17,118906,20574.0,20.922995566041575,0.20922995566041575,0.4019982170790372,32.351249797439635,Normal,False
ipWfcK1HVdA,2018-02-06,3134196,226132.0,7.776032439451126,0.07776032439451126,1.6405802317404528,32.34058161832226,Normal,False
Mu2xiFekdfk,2018-01-03,295689,25974.0,9.630165174350704,0.09630165174350705,1.2580785893286528,32.335845081834385,Normal,False
Mg9NphC-Z-I,2018-01-30,3162114,209555.0,7.097402625993249,0.07097402625993249,1.7988598766521382,32.335240776751476,Normal,False
UaZ_ZMwXbtI,2018-03-14,770566,14319.0,1.8934289987266064,0.018934289987266064,3.270453147426697,32.31807040998218,Normal,False
ja703gLo4eM,2018-02-12,2542105,240128.0,10.43138137348896,0.10431381373488961,1.1293789989005174,32.31643979906012,Normal,False
hQkQlRYqvtg,2017-12-01,1908682,112887.0,6.286185227155661,0.0628618522715566,2.0159460821655992,32.31415086695835,Normal,False
gwSGUosPbvc,2017-12-10,105788,10530.0,11.054189674358058,0.11054189674358059,1.0435966272166977,32.31198347107438,Normal,False
1Drha8HZN_c,2018-01-31,9651863,205817.0,2.178869338557106,0.02178869338557106,3.2119913015756647,32.311787662723496,Normal,False
Jpw5zpDlyzQ,2017-12-23,289630,66741.0,29.94360421555124,0.2994360421555124,0.0,32.311785974720465,Normal,False
qdUNbpio-8o,2018-03-08,290946,50733.0,21.120005994679723,0.21120005994679722,0.3901067552054333,32.30935018635553,Normal,False
5gYuK3LixLo,2018-04-19,1016582,54317.0,5.644702862517082,0.05644702862517082,2.2097577962230295,32.30754739912494,Normal,False
AdZpDrdIEU0,2018-01-23,5667132,609932.0,12.060665981175354,0.12060665981175354,0.9219478212259746,32.30460014584346,Normal,False
HraNmhX3By0,2018-04-19,783327,134334.0,20.698836505170316,0.20698836505170315,0.40876926238978106,32.29509668881327,Normal,False
beM6T5yaVl0,2018-01-31,23845,2924.0,13.976387361980786,0.13976387361980785,0.7464877332774167,32.29253092421542,Normal,False
YOPbPj36AWc,2018-01-17,2042972,288354.0,16.434004438572956,0.16434004438572955,0.5979034465474808,32.28478974234322,Normal,False
5LzfVwxDTPU,2018-03-17,2297252,85844.0,3.881870735748446,0.03881870735748446,2.7325256436821035,32.27383122670556,Normal,False
4ZT8verRHRI,2017-12-18,161941,21958.0,15.686190465985156,0.15686190465985156,0.6354166023428286,32.272126343650406,Normal,False
SDCffmveHp0,2018-06-02,696255,47366.0,7.2995535445969955,0.07299553544596996,1.7368636490940819,32.27126883811376,Normal,False
dVhNi_jZ820,2018-01-21,270385,58759.0,27.765491952784632,0.2776549195278463,0.15126578767313276,32.269695619294545,Normal,False
gu_cSXf1zGo,2017-11-24,992449,107627.0,12.163689420018942,0.12163689420018942,0.9118856485320657,32.26774428779777,Normal,False
5Y1SzdjGb_8,2018-06-01,1993445,259243.0,14.948835256792462,0.14948835256792462,0.679326492579429,32.26564778804084,Normal,False
XogC3hSjtwQ,2017-11-30,176016,20526.0,13.200848929191588,0.1320084892919159,0.8112898827379329,32.262808566952955,Normal,False
NRlezrTVPuI,2018-01-14,993707,210964.0,26.951885868030757,0.26951885868030756,0.18204561304287883,32.26046224274834,Normal,False
82JeBVN7PI8,2017-12-07,151610,19290.0,14.578295042321646,0.14578295042321646,0.6985027372864587,32.258683087560094,Normal,False
xmTHyoms5Vo,2018-01-29,313428,50021.0,18.990004062154764,0.18990004062154764,0.4725168140689409,32.24894668611246,Normal,False
QjtdB0l5rjg,2018-02-06,250819,13214.0,5.561330780076177,0.05561330780076177,2.21514319090659,32.24635053746017,Normal,False
